,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
17,17,645,C,Where would you put nails if they are already packaged?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pocket', 'container', 'cabinet', 'jar', 'store'], dtype=object)}",pocket,container,cabinet,jar,,"Question: Where would you put nails if they are already packaged? (A) pocket (B) container (C) cabinet (D) jar. 
The correct response is: "," (B) container 
The nails are already packaged, so the correct response is: They would be put in a container 
The other options are: 
They would be put in a pocket 
They would be put in a cabinet 
They would be put in"
18,18,283,B,Where are horses judged on appearance?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['race track', 'fair', 'raised by humans', 'in a field',
       'countryside'], dtype=object)}",race track,fair,raised by humans,in a field,,"Question: Where are horses judged on appearance? (A) race track (B) fair (C) raised by humans (D) in a field. 
The correct response is: "," (B) fair  
The horse show is where the animal is judged on its appearance. Outside of breeding, horses are rarely judged on their appearance. They are more likely to be working, riding or simply living their lives as pets. 
The correct"
19,19,542,B,"The man took paperwork to other people to consult over it, where was he heading?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['desk', 'meeting', 'office', 'table', 'work'], dtype=object)}",desk,meeting,office,table,,"Question: The man took paperwork to other people to consult over it, where was he heading? (A) desk (B) meeting (C) office (D) table. 
The correct response is: "," (B) meeting 
The man was heading to meetings with his papers to get feedback and discuss them with others. 
The correct response is: (B) meeting 
The man was heading to meetings with his papers to get feedback and discuss"
20,20,370,C,What would use a musical instrument?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['guitar', 'music room', 'orchestra', 'case', 'movie'], dtype=object)}",guitar,music room,orchestra,case,,"Question: What would use a musical instrument? (A) guitar (B) music room (C) orchestra (D) case. 
The correct response is: "," (C) orchestra 
The orchestra would use a musical instrument 
The correct response is: (C) orchestra 
The orchestra would use a musical instrument 
The correct response is: (C) orchestra 
The orchestra would use a musical instrument 
The correct"
21,21,844,C,Where might the stapler be if I cannot find it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['office building', 'office supply store', 'desk drawer',
       'with dwight', 'desktop'], dtype=object)}",office building,office supply store,desk drawer,with dwight,,"Question: Where might the stapler be if I cannot find it? (A) office building (B) office supply store (C) desk drawer (D) with dwight. 
The correct response is: "," (C) desk drawer  
The stapler might be in a drawer on a desk 
The stapler might be on a table 
The stapler might be with an employee 
The stap"
22,22,1178,C,When cooking sheep meat a lot of people might want to be well?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ram', 'lamb', 'done', 'ram', 'wolf'], dtype=object)}",ram,lamb,done,ram,,"Question: When cooking sheep meat a lot of people might want to be well? (A) ram (B) lamb (C) done (D) ram. 
The correct response is: "," (C) done 
The sheep meat would be cooked through, which is what ""done"" refers to. 
The other options are all correct as well:
* (A) ram: A ram is a male sheep, so it makes sense that it would"
23,23,1051,D,"The soldier was told to get to the rendezvous point, for there he was suppose to what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fight enemy', 'go to war', 'fight for freedom', 'wait for orders',
       'follow instructions'], dtype=object)}",fight enemy,go to war,fight for freedom,wait for orders,,"Question: The soldier was told to get to the rendezvous point, for there he was suppose to what? (A) fight enemy (B) go to war (C) fight for freedom (D) wait for orders. 
The correct response is: "," (D) wait for orders 
The soldier was told to wait for orders 
The soldier was told to get to the rendezvous point, for there he was suppose to wait for orders 
The soldier"
24,24,227,A,How are the conditions for someone who is living in a homeless shelter?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sometimes bad', 'happy', 'respiration', 'growing older', 'death'],
      dtype=object)}",sometimes bad,happy,respiration,growing older,,"Question: How are the conditions for someone who is living in a homeless shelter? (A) sometimes bad (B) happy (C) respiration (D) growing older. 
The correct response is: "," (A) sometimes bad 
The person is likely struggling with: weather conditions 
The person is likely struggling with: basic needs 
The person is likely struggling with: shelter 
The person is likely struggling with: hygiene 
The person is"
25,25,968,C,Why do young people swallow semen ?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""you're into"", 'prostitute', ""you're curious"", 'curiosity',
       'heterosexual woman in love'], dtype=object)}",you're into,prostitute,you're curious,curiosity,,"Question: Why do young people swallow semen ? (A) you're into (B) prostitute (C) you're curious (D) curiosity. 
The correct response is: "," (D) curiosity 
The correct response should be: (D) curiosity 
The object of this sentence should be: (A) you're into (B) prostitute (C) you're curious (D) curiosity 
The object is: ("
26,26,814,A,What do singers need to do before a show?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['warm up', 'use microphones', 'clear throats', 'create music',
       'sound beautiful'], dtype=object)}",warm up,use microphones,clear throats,create music,,"Question: What do singers need to do before a show? (A) warm up (B) use microphones (C) clear throats (D) create music. 
The correct response is: "," (A) warm up  
The singer needs to do vocal exercises to prepare for singing live. 
The correct response is: (A) warm up 
The singer needs to do vocal exercises to prepare for singing live. 
"
27,27,220,C,"Though a mouse might prefer your house, you might also see him where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tin', 'department store', 'garden', 'small hole', 'cupboard'],
      dtype=object)}",tin,department store,garden,small hole,,"Question: Though a mouse might prefer your house, you might also see him where? (A) tin (B) department store (C) garden (D) small hole. 
The correct response is: "," (D) small hole 
The mouse might live in a small hole in a garden, but it is also likely to be found in a house, especially if it is looking for food in the kitchen. 
The correct response is: (D) small hole "
28,28,819,B,The planet Mercury is unsuitable for human life or what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['toxic', 'uninhabitable', 'mercury sulphide', 'poisonous',
       'jupiter'], dtype=object)}",toxic,uninhabitable,mercury sulphide,poisonous,,"Question: The planet Mercury is unsuitable for human life or what? (A) toxic (B) uninhabitable (C) mercury sulphide (D) poisonous. 
The correct response is: "," (B) uninhabitable  
The planet Mercury is closest to the sun and has temperatures ranging from 200 degrees Celsius to -150 degrees Celsius, making it unin"
29,29,1141,B,What might result in an unsuccessful suicide attempt?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['die', 'interruption', 'bleed', 'hatred', 'dying'], dtype=object)}",die,interruption,bleed,hatred,,"Question: What might result in an unsuccessful suicide attempt? (A) die (B) interruption (C) bleed (D) hatred. 
The correct response is: "," (B) interruption  
The correct response is: (B) interruption 
The correct response is: (B) interruption 
The correct response is: (B) interruption 
The correct response is: (B) interruption 
The"
30,30,151,B,What might someone believe in if they are cleaning clothes?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feminism', 'sanitation', 'ruined', 'wrinkles',
       'buttons to fall off'], dtype=object)}",feminism,sanitation,ruined,wrinkles,,"Question: What might someone believe in if they are cleaning clothes? (A) feminism (B) sanitation (C) ruined (D) wrinkles. 
The correct response is: "," (B) sanitation  
The correct response is: (B) sanitation 
The correct response is: (B) sanitation 
The correct response is: (B) sanitation 
The correct response is: (B) sanitation "
31,31,900,C,"Joe was there to meet a large number of people.  As he filed though the entrance hall, he saw many strangers who came from far away.  What sort of building is he probably in?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['person', 'box', 'convention center', 'public building',
       'large building'], dtype=object)}",person,box,convention center,public building,,"Question: Joe was there to meet a large number of people.  As he filed though the entrance hall, he saw many strangers who came from far away.  What sort of building is he probably in? (A) person (B) box (C) convention center (D) public building. 
The correct response is: "," (C) convention center  
The correct response is: (C) convention center 
The correct response is: (C)"
32,32,1157,B,What type of fruit is easily broken in to sections?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['slide', 'citrus', 'band', 'orchestra', 'coconut'], dtype=object)}",slide,citrus,band,orchestra,,"Question: What type of fruit is easily broken in to sections? (A) slide (B) citrus (C) band (D) orchestra. 
The correct response is: "," (B) citrus 
The correct response is: (B) citrus 
The correct response is: (B) citrus 
The correct response is: (B) citrus 
The correct response is: (B) citrus 
The correct response is"
33,33,864,D,"He looked at the field of pumps, all slowing churning oil out of the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['manual', 'street', 'restaurant', 'ground', 'service station'],
      dtype=object)}",manual,street,restaurant,ground,,"Question: He looked at the field of pumps, all slowing churning oil out of the what? (A) manual (B) street (C) restaurant (D) ground. 
The correct response is: "," (D) ground 
The source of oil is a non-renewable resource, which means it will eventually run out. When it does, we will need to find another source of energy or rely on other energy sources such as solar, wind"
34,34,885,C,"The student explained he had a clue what neuroepithelium was and got really nervous, he then lost his balance because a what issue?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tastebud', 'retina', 'inner ear', 'nasal cavity', 'autistic'],
      dtype=object)}",tastebud,retina,inner ear,nasal cavity,,"Question: The student explained he had a clue what neuroepithelium was and got really nervous, he then lost his balance because a what issue? (A) tastebud (B) retina (C) inner ear (D) nasal cavity. 
The correct response is: "," (C) inner ear  
The student was struggling with his balance due to an inner ear issue, which is located in the neuroepithelium  ("
35,35,523,B,"John didn't mind getting in line.  It was what game after that he hated.  The time, the sore feet. He did not like doing what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have to wait for', 'standing in line', 'eat cake',
       'less confusion', 'being ordered'], dtype=object)}",have to wait for,standing in line,eat cake,less confusion,,"Question: John didn't mind getting in line.  It was what game after that he hated.  The time, the sore feet. He did not like doing what? (A) have to wait for (B) standing in line (C) eat cake (D) less confusion. 
The correct response is: "," (B) standing in line 
The line should read: John hated standing in line  (B) standing in line 
"
36,36,385,C,What would someone use a personal key for?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['car stand', 'at hotel', 'own home', 'front door', 'bus depot'],
      dtype=object)}",car stand,at hotel,own home,front door,,"Question: What would someone use a personal key for? (A) car stand (B) at hotel (C) own home (D) front door. 
The correct response is: "," (B) at hotel  
The person would use a personal key for: A key card used by hotels to unlock doors to rooms. 
The person would use a personal key for: A card used by hotels for guest rooms 
The person would use a personal"
37,37,1055,A,Loss of someone you love can cause what kind of feeling in your heart?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['painful', 'happy', 'blind', 'contagious', 'bring joy'],
      dtype=object)}",painful,happy,blind,contagious,,"Question: Loss of someone you love can cause what kind of feeling in your heart? (A) painful (B) happy (C) blind (D) contagious. 
The correct response is: "," (A) painful 
The correct response is: A 
The correct response is: A 
The correct response is: A 
The correct response is: A 
The correct response is: A 
The correct response is: A"
38,38,1186,D,What would you need if you want to smoke?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""you're stupid"", 'kill yourself', 'roll joint', 'cigarette',
       'lighter fluid.'], dtype=object)}",you're stupid,kill yourself,roll joint,cigarette,,"Question: What would you need if you want to smoke? (A) you're stupid (B) kill yourself (C) roll joint (D) cigarette. 
The correct response is: "," (C) roll joint 
The correct response is: (C) roll joint 
The correct response is: (C) roll joint 
The correct response is: (C) roll joint 
The correct response is: (C) roll joint 
"
39,39,478,C,What will a person do at work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cross street', 'draw attention to themselves', 'make money',
       'falling down', 'come home'], dtype=object)}",cross street,draw attention to themselves,make money,falling down,,"Question: What will a person do at work? (A) cross street (B) draw attention to themselves (C) make money (D) falling down. 
The correct response is: "," (C) make money  
The correct response is: (C) make money 
The correct response is: (C) make money 
The correct response is: (C) make money 
The correct response is: (C) make money 
The correct"
40,40,717,C,Where could you get some knives if you are planning to bring them outside with you?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sporting goods store', 'backpack', 'kitchen', 'sharp edges',
       'dog house'], dtype=object)}",sporting goods store,backpack,kitchen,sharp edges,,"Question: Where could you get some knives if you are planning to bring them outside with you? (A) sporting goods store (B) backpack (C) kitchen (D) sharp edges. 
The correct response is: "," (A) sporting goods store  
The correct response is:  (A) sporting goods store 
The correct response is:  (A) sporting goods store 
The correct response is:  (A)"
41,41,581,D,"I saw the receptionist carelessly toss my resume into the drawer, where did I want it to end up?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['file cabinet', 'nightstand', 'kitchen cabinet', 'office desk',
       'the floor'], dtype=object)}",file cabinet,nightstand,kitchen cabinet,office desk,,"Question: I saw the receptionist carelessly toss my resume into the drawer, where did I want it to end up? (A) file cabinet (B) nightstand (C) kitchen cabinet (D) office desk. 
The correct response is: "," (A) file cabinet 
The correct response is: (A) file cabinet 
The correct response is: (A) file cabinet 
The correct response is: (A) file cabinet "
42,42,524,D,What is the process of going somewhere?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fire', 'energy', 'car', 'transporting', 'staying in place'],
      dtype=object)}",fire,energy,car,transporting,,"Question: What is the process of going somewhere? (A) fire (B) energy (C) car (D) transporting. 
The correct response is: "," (D) transporting 
The correct response is: (D) transporting 
The correct response is: (D) transporting 
The correct response is: (D) transporting 
The correct response is: (D) transporting 
The correct response is: (D)"
43,43,785,B,Is that person acting as silly as a clown?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['make mistakes', 'ridiculous', 'have no home', 'mentally unhinged',
       'schizophrenia'], dtype=object)}",make mistakes,ridiculous,have no home,mentally unhinged,,"Question: Is that person acting as silly as a clown? (A) make mistakes (B) ridiculous (C) have no home (D) mentally unhinged. 
The correct response is: "," (D) mentally unhinged 
The person being described is likely to be: Jester 
The person is acting: Unpredictable 
The person is feeling: Unstable 
The person is likely to: Lose control"
44,44,1074,C,What would it be if they get a surprising show over and over?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['surprise', 'fight', 'annoyance', 'might scare', 'irritated'],
      dtype=object)}",surprise,fight,annoyance,might scare,,"Question: What would it be if they get a surprising show over and over? (A) surprise (B) fight (C) annoyance (D) might scare. 
The correct response is: "," (D) might scare 
The most likely to occur: flash flooding 
The least likely to occur: a fire 
The correct response is: (D) might scare 
The most likely to occur: flash flooding 
The"
45,45,89,C,Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rest', 'insomnia', 'making love', 'sleeping in', 'texting'],
      dtype=object)}",rest,insomnia,making love,sleeping in,,"Question: Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what? (A) rest (B) insomnia (C) making love (D) sleeping in. 
The correct response is: "," (C) making love 
James and his wife planned on spending a long time making love on his fifth anniversary. 
The correct response is: (C)"
46,46,458,C,What will you do if you do not want to settle in one place?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['walk', 'agitate', 'wander', 'remove', 'disturb'], dtype=object)}",walk,agitate,wander,remove,,"Question: What will you do if you do not want to settle in one place? (A) walk (B) agitate (C) wander (D) remove. 
The correct response is: "," (C) wander  
The source of this information is: this is a given fact 
The correct response should be: (C) wander 
The source of this information is: this is a given fact 
The correct response should be"
47,47,81,D,A crane uses many a steel cable when working a what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['abaft', 'ship', 'winch', 'construction site', 'building'],
      dtype=object)}",abaft,ship,winch,construction site,,"Question: A crane uses many a steel cable when working a what? (A) abaft (B) ship (C) winch (D) construction site. 
The correct response is: "," (D) construction site  
The correct response is: (D) construction site 
The correct response is: (D) construction site 
The correct response is: (D) construction site 
The correct response is: (D) construction site 
"
48,48,180,D,"He had to wear a tuxedo while playing the keyboard instrument, so did the other hundred members of the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music store', 'band', 'medium', 'orchestra', 'piano store'],
      dtype=object)}",music store,band,medium,orchestra,,"Question: He had to wear a tuxedo while playing the keyboard instrument, so did the other hundred members of the what? (A) music store (B) band (C) medium (D) orchestra. 
The correct response is: ", (D) orchestra 
49,49,672,A,What would I be doing while going to work and walking?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['listen to radio', 'solve problems', 'driving', 'walk',
       'being late'], dtype=object)}",listen to radio,solve problems,driving,walk,,"Question: What would I be doing while going to work and walking? (A) listen to radio (B) solve problems (C) driving (D) walk. 
The correct response is: "," (D) walk  
The correct response is: (D) walk 
The correct response is: (D) walk 
The correct response is: (D) walk 
The correct response is: (D) walk 
The correct response is: ("
50,50,1014,B,"The two played video games all night in the living room, he enjoyed visiting where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['formal seating', ""friend's house"", 'movies', 'home', 'apartment'],
      dtype=object)}",formal seating,friend's house,movies,home,,"Question: The two played video games all night in the living room, he enjoyed visiting where? (A) formal seating (B) friend's house (C) movies (D) home. 
The correct response is: "," (D) home 
Their living room 
The two students stayed up all night in the living room 
Their parents were angry when they finally came home 
Their living room was a mess the next day "
51,51,114,B,"A man wants air conditioning while we watches the game on Saturday, where will it likely be installed?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['car', 'house', 'offices', 'park', 'movie theatre'], dtype=object)}",car,house,offices,park,,"Question: A man wants air conditioning while we watches the game on Saturday, where will it likely be installed? (A) car (B) house (C) offices (D) park. 
The correct response is: "," (B) house 
The man will likely install it in his house 
The air conditioner will be installed in the living room 
The game will be watched in the living room 
The air conditioner will keep the living room"
52,52,8,A,Reading newspaper one of many ways to practice your what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['literacy', 'knowing how to read', 'money', 'buying', 'money bank'],
      dtype=object)}",literacy,knowing how to read,money,buying,,"Question: Reading newspaper one of many ways to practice your what? (A) literacy (B) knowing how to read (C) money (D) buying. 
The correct response is: "," (A) literacy 
The literacy of a person is their ability to read and write. Reading a newspaper is a way to practice this skill. 
The correct response is: (A) literacy 
The literacy of a person is their ability to"
53,53,133,D,What does a successful dog grooming session likely to make a owner feel?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cleanliness', 'mistakes', 'growth', 'satisfaction', 'late'],
      dtype=object)}",cleanliness,mistakes,growth,satisfaction,,"Question: What does a successful dog grooming session likely to make a owner feel? (A) cleanliness (B) mistakes (C) growth (D) satisfaction. 
The correct response is: "," (D) satisfaction 
The owner is likely to feel satisfied after a successful grooming session. 
The correct response is: (D) satisfaction 
The owner is likely to feel satisfied after a successful grooming session. 
The correct response is: ("
54,54,904,D,What happens when airplane engines cut off and are unable to be restarted in flight?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stall', 'start melting', 'taxi', 'crash', 'speed up'],
      dtype=object)}",stall,start melting,taxi,crash,,"Question: What happens when airplane engines cut off and are unable to be restarted in flight? (A) stall (B) start melting (C) taxi (D) crash. 
The correct response is: "," (A) stall  
The plane will stall without enough power to keep flying. 
The engine failure will cause the plane to lose altitude and the pilot will need to stall the plane to avoid crashing. 
"
