index,answerKey,question,choices,A,B,C,D
1048,A,Where might an alien use a vacuum?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['space', 'closet', 'kitchen', 'orbit', 'container'], dtype=object)}",space,closet,kitchen,orbit
925,A,"The man  tried to break the glass in order to make his escape in time, but he could not.  The person in the cat, trying to kill him, did what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['accelerate', 'putting together', 'working', 'construct', 'train'],
      dtype=object)}",accelerate,putting together,working,construct
899,C,"If a person is using a computer to talk to their granddaughter, what might the computer cause for them?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['program created', 'stress', 'happiness', 'ocean', 'headache'],
      dtype=object)}",program created,stress,happiness,ocean
80,B,"George didn't have a car, but he still had his two feet.   His socks were smelly and his soles were blistered, but that didn't matter.  He could still do what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['michigan', 'walk', 'stay still', 'stink', 'hands'], dtype=object)}",michigan,walk,stay still,stink
632,D,A person would join a trade school for finding information related to what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ulcers', 'degree', 'understanding of', 'gaining knowledge',
       'happiness'], dtype=object)}",ulcers,degree,understanding of,gaining knowledge
645,C,Where would you put nails if they are already packaged?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pocket', 'container', 'cabinet', 'jar', 'store'], dtype=object)}",pocket,container,cabinet,jar
283,B,Where are horses judged on appearance?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['race track', 'fair', 'raised by humans', 'in a field',
       'countryside'], dtype=object)}",race track,fair,raised by humans,in a field
542,B,"The man took paperwork to other people to consult over it, where was he heading?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['desk', 'meeting', 'office', 'table', 'work'], dtype=object)}",desk,meeting,office,table
370,C,What would use a musical instrument?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['guitar', 'music room', 'orchestra', 'case', 'movie'], dtype=object)}",guitar,music room,orchestra,case
844,C,Where might the stapler be if I cannot find it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['office building', 'office supply store', 'desk drawer',
       'with dwight', 'desktop'], dtype=object)}",office building,office supply store,desk drawer,with dwight
1178,C,When cooking sheep meat a lot of people might want to be well?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ram', 'lamb', 'done', 'ram', 'wolf'], dtype=object)}",ram,lamb,done,ram
1051,D,"The soldier was told to get to the rendezvous point, for there he was suppose to what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fight enemy', 'go to war', 'fight for freedom', 'wait for orders',
       'follow instructions'], dtype=object)}",fight enemy,go to war,fight for freedom,wait for orders
227,A,How are the conditions for someone who is living in a homeless shelter?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sometimes bad', 'happy', 'respiration', 'growing older', 'death'],
      dtype=object)}",sometimes bad,happy,respiration,growing older
968,C,Why do young people swallow semen ?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""you're into"", 'prostitute', ""you're curious"", 'curiosity',
       'heterosexual woman in love'], dtype=object)}",you're into,prostitute,you're curious,curiosity
814,A,What do singers need to do before a show?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['warm up', 'use microphones', 'clear throats', 'create music',
       'sound beautiful'], dtype=object)}",warm up,use microphones,clear throats,create music
220,C,"Though a mouse might prefer your house, you might also see him where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tin', 'department store', 'garden', 'small hole', 'cupboard'],
      dtype=object)}",tin,department store,garden,small hole
819,B,The planet Mercury is unsuitable for human life or what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['toxic', 'uninhabitable', 'mercury sulphide', 'poisonous',
       'jupiter'], dtype=object)}",toxic,uninhabitable,mercury sulphide,poisonous
1141,B,What might result in an unsuccessful suicide attempt?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['die', 'interruption', 'bleed', 'hatred', 'dying'], dtype=object)}",die,interruption,bleed,hatred
151,B,What might someone believe in if they are cleaning clothes?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feminism', 'sanitation', 'ruined', 'wrinkles',
       'buttons to fall off'], dtype=object)}",feminism,sanitation,ruined,wrinkles
900,C,"Joe was there to meet a large number of people.  As he filed though the entrance hall, he saw many strangers who came from far away.  What sort of building is he probably in?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['person', 'box', 'convention center', 'public building',
       'large building'], dtype=object)}",person,box,convention center,public building
1157,B,What type of fruit is easily broken in to sections?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['slide', 'citrus', 'band', 'orchestra', 'coconut'], dtype=object)}",slide,citrus,band,orchestra
864,D,"He looked at the field of pumps, all slowing churning oil out of the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['manual', 'street', 'restaurant', 'ground', 'service station'],
      dtype=object)}",manual,street,restaurant,ground
885,C,"The student explained he had a clue what neuroepithelium was and got really nervous, he then lost his balance because a what issue?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tastebud', 'retina', 'inner ear', 'nasal cavity', 'autistic'],
      dtype=object)}",tastebud,retina,inner ear,nasal cavity
523,B,"John didn't mind getting in line.  It was what game after that he hated.  The time, the sore feet. He did not like doing what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['have to wait for', 'standing in line', 'eat cake',
       'less confusion', 'being ordered'], dtype=object)}",have to wait for,standing in line,eat cake,less confusion
385,C,What would someone use a personal key for?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['car stand', 'at hotel', 'own home', 'front door', 'bus depot'],
      dtype=object)}",car stand,at hotel,own home,front door
1055,A,Loss of someone you love can cause what kind of feeling in your heart?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['painful', 'happy', 'blind', 'contagious', 'bring joy'],
      dtype=object)}",painful,happy,blind,contagious
1186,D,What would you need if you want to smoke?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""you're stupid"", 'kill yourself', 'roll joint', 'cigarette',
       'lighter fluid.'], dtype=object)}",you're stupid,kill yourself,roll joint,cigarette
478,C,What will a person do at work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cross street', 'draw attention to themselves', 'make money',
       'falling down', 'come home'], dtype=object)}",cross street,draw attention to themselves,make money,falling down
717,C,Where could you get some knives if you are planning to bring them outside with you?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sporting goods store', 'backpack', 'kitchen', 'sharp edges',
       'dog house'], dtype=object)}",sporting goods store,backpack,kitchen,sharp edges
581,D,"I saw the receptionist carelessly toss my resume into the drawer, where did I want it to end up?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['file cabinet', 'nightstand', 'kitchen cabinet', 'office desk',
       'the floor'], dtype=object)}",file cabinet,nightstand,kitchen cabinet,office desk
524,D,What is the process of going somewhere?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fire', 'energy', 'car', 'transporting', 'staying in place'],
      dtype=object)}",fire,energy,car,transporting
785,B,Is that person acting as silly as a clown?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['make mistakes', 'ridiculous', 'have no home', 'mentally unhinged',
       'schizophrenia'], dtype=object)}",make mistakes,ridiculous,have no home,mentally unhinged
1074,C,What would it be if they get a surprising show over and over?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['surprise', 'fight', 'annoyance', 'might scare', 'irritated'],
      dtype=object)}",surprise,fight,annoyance,might scare
89,C,Friday was James's 5th Anniversary.  They planned on going to bed early so that they could spend a long time doing what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rest', 'insomnia', 'making love', 'sleeping in', 'texting'],
      dtype=object)}",rest,insomnia,making love,sleeping in
458,C,What will you do if you do not want to settle in one place?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['walk', 'agitate', 'wander', 'remove', 'disturb'], dtype=object)}",walk,agitate,wander,remove
81,D,A crane uses many a steel cable when working a what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['abaft', 'ship', 'winch', 'construction site', 'building'],
      dtype=object)}",abaft,ship,winch,construction site
180,D,"He had to wear a tuxedo while playing the keyboard instrument, so did the other hundred members of the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['music store', 'band', 'medium', 'orchestra', 'piano store'],
      dtype=object)}",music store,band,medium,orchestra
672,A,What would I be doing while going to work and walking?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['listen to radio', 'solve problems', 'driving', 'walk',
       'being late'], dtype=object)}",listen to radio,solve problems,driving,walk
1014,B,"The two played video games all night in the living room, he enjoyed visiting where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['formal seating', ""friend's house"", 'movies', 'home', 'apartment'],
      dtype=object)}",formal seating,friend's house,movies,home
114,B,"A man wants air conditioning while we watches the game on Saturday, where will it likely be installed?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['car', 'house', 'offices', 'park', 'movie theatre'], dtype=object)}",car,house,offices,park
8,A,Reading newspaper one of many ways to practice your what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['literacy', 'knowing how to read', 'money', 'buying', 'money bank'],
      dtype=object)}",literacy,knowing how to read,money,buying
133,D,What does a successful dog grooming session likely to make a owner feel?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cleanliness', 'mistakes', 'growth', 'satisfaction', 'late'],
      dtype=object)}",cleanliness,mistakes,growth,satisfaction
904,D,What happens when airplane engines cut off and are unable to be restarted in flight?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stall', 'start melting', 'taxi', 'crash', 'speed up'],
      dtype=object)}",stall,start melting,taxi,crash
256,A,What could you be a few hours after you finish cashing in due to your cash?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['happy', 'receiving money', 'getting paid', 'spending money',
       'selling out'], dtype=object)}",happy,receiving money,getting paid,spending money
284,C,Why do people read non fiction?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['having fun', ""it's more relatable"", 'learn new things',
       'becoming absorbed', 'falling asleep'], dtype=object)}",having fun,it's more relatable,learn new things,becoming absorbed
755,C,Where could you find only a few office?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['skyscraper', 'new york', 'school building', 'city', 'work'],
      dtype=object)}",skyscraper,new york,school building,city
368,A,"More people should lower the guard and just have fun, we don't got long just what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['enjoy living', 'happy', 'enjoyable', 'get laid', 'do enjoy'],
      dtype=object)}",enjoy living,happy,enjoyable,get laid
373,C,"If a reception is held with hotel guests walking by, what is the likely venue?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['room service', 'church basement', 'lobby', 'large room',
       'country club'], dtype=object)}",room service,church basement,lobby,large room
257,C,"The smelly man was having a bath, but what is he pursuing?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hydration', 'being clear', 'personal cleanliness', 'will drown',
       'use of water'], dtype=object)}",hydration,being clear,personal cleanliness,will drown
455,A,If you're reading a newspaper from another country what are you doing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['learning about world', 'education', 'get angry', 'concern',
       'eat cake'], dtype=object)}",learning about world,education,get angry,concern
902,C,Many towns and cities have trash cans where on sidewalks?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['hospital', 'park', 'corner', 'motel', 'office'], dtype=object)}",hospital,park,corner,motel
1218,C,"The man closed his eyes as the music played, what effect did the music have?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['coma', 'enjoyable', 'soothing', 'universal', 'good or bad'],
      dtype=object)}",coma,enjoyable,soothing,universal
1176,D,"She had an interest in the man, what did she want to do with him?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['see particular program', 'see exhibits', 'see people play game',
       'have conversation', 'watch film'], dtype=object)}",see particular program,see exhibits,see people play game,have conversation
931,C,"The chef wanted to perfect his craft, what did he do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['thin potatos', 'prepare food', 'study french cooking', 'drink',
       'cook dinner'], dtype=object)}",thin potatos,prepare food,study french cooking,drink
623,D,If you're celebrating with too many cocktails what may you have in the morning?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['drunkenness', 'have fun', 'headache', 'hang over', 'intimacy'],
      dtype=object)}",drunkenness,have fun,headache,hang over
854,C,What area does a police officer patrol?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['direct traffic', 'city', 'beat', 'street', 'park'], dtype=object)}",direct traffic,city,beat,street
434,C,"A beaver is know for building prowess, their supplies come from where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['british columbia', 'body of water', 'wooded area', 'pay debts',
       'zoo'], dtype=object)}",british columbia,body of water,wooded area,pay debts
908,B,"He wanted lodging in the actual what, so that he was already where he needed to be?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['a yurt', 'resort area', 'big city', 'michigan',
       'going on vacation'], dtype=object)}",a yurt,resort area,big city,michigan
474,C,"He was getting advice for the job interview, they told him when talking to the interviewer always make what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['get tired of', 'small talk', 'eye contact', 'friendship',
       'social life'], dtype=object)}",get tired of,small talk,eye contact,friendship
302,C,"There was more than one bum asking for change or a ticket, it was the cheapest way to travel so it was no surprise sight at the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['train station', 'beach', 'bus depot', 'bridge', 'stumblebum'],
      dtype=object)}",train station,beach,bus depot,bridge
897,B,"She loved spending money at the thrift store on knickknacks, this resulted in a lot of what on every shelf in her house?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['poverty', 'clutter', 'getting', 'satisfaction', 'more happiness'],
      dtype=object)}",poverty,clutter,getting,satisfaction
467,A,Where can you find a restaurant's phone number?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['yellow pages', 'town', 'business sector', 'town', 'at hotel'],
      dtype=object)}",yellow pages,town,business sector,town
630,A,"If you want to learn about the world and understand the real reasons behind cultural norms and mores, you have achieved a sense of what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['enlightenment', 'open mind', 'confusion', 'smartness', 'anger'],
      dtype=object)}",enlightenment,open mind,confusion,smartness
446,D,Where would you put a net if you wanted to use it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sports', 'fishing gear', 'soccer game', 'fishing boat',
       'badminton'], dtype=object)}",sports,fishing gear,soccer game,fishing boat
52,D,"When a person is beginning work, what are they building?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['time', 'accomplishing', 'working', 'momentum', 'tiredness'],
      dtype=object)}",time,accomplishing,working,momentum
1115,D,Where might a mouse be found to make it country?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['kitchen', 'cook', 'computer lab', 'old barn',
       'research laboratory'], dtype=object)}",kitchen,cook,computer lab,old barn
367,C,"James slamed into someone playing football, and not for the first time.  He was concerned about the consequences of many what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['exhilaration', 'interactions', 'head injuries', 'death',
       'having fun'], dtype=object)}",exhilaration,interactions,head injuries,death
1217,B,"His compressor needed a new hose, where did he go?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['garden shed', 'hardware store', 'brothel', 'garage', 'greenhouse'],
      dtype=object)}",garden shed,hardware store,brothel,garage
1058,C,"He wanted to live somewhere were every yard was uniform in size and landscaping, where should he look for a house?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['city', 'three feet', 'subdivision', 'parking garage', 'michigan'],
      dtype=object)}",city,three feet,subdivision,parking garage
65,A,Where is a human likely to go as a result of being hungry?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eat in restaurant', 'make bread', 'have lunch', 'cook dinner',
       'friends house'], dtype=object)}",eat in restaurant,make bread,have lunch,cook dinner
1136,B,Christians believe you will go to heaven if you're what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['unable to work', 'born again', 'change of color', 'dead',
       'no longer exist'], dtype=object)}",unable to work,born again,change of color,dead
1020,D,Where would you put a dollar if you want to go to a store and buy something with it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cash drawer', 'teh bank', 'safety deposit box', 'pocket',
       'piggy bank'], dtype=object)}",cash drawer,teh bank,safety deposit box,pocket
718,B,How can people fulfill their own calorie requirements?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['compete with each other', 'feed themselves', 'feel lonely',
       'talk to each other', 'ask a doctor'], dtype=object)}",compete with each other,feed themselves,feel lonely,talk to each other
835,B,To see new films you must?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['open eyes', 'go to movies', 'kick ball', 'make art', 'look for'],
      dtype=object)}",open eyes,go to movies,kick ball,make art
361,D,How can a human cross a river and not mess up their hair?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wisconsin', 'waterfall', 'hatred', 'bridge', 'valley'],
      dtype=object)}",wisconsin,waterfall,hatred,bridge
1041,C,What region of a west coast U.S. city would you find a Japanese restaurant?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['california', 'tokio', 'downtown', 'narnia', 'large town'],
      dtype=object)}",california,tokio,downtown,narnia
546,D,What can eating hamburger cause immediately after eating it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['tasty', 'health problems', 'eat cake', 'indigestion',
       'gain weight'], dtype=object)}",tasty,health problems,eat cake,indigestion
346,D,What would a person do if they do not have any friends?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['talk to people', 'try again', 'fall asleep', 'stand alone',
       'thank god'], dtype=object)}",talk to people,try again,fall asleep,stand alone
362,D,Batman bought beer.  There were no bottles available.  He had to settle for what?.,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['shelf', 'soccer game', 'keg', 'can', 'refrigerator'], dtype=object)}",shelf,soccer game,keg,can
1179,D,Where would you sit in a chair while working toward an advanced degree?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['aeroport', 'church', 'furniture store', 'university',
       'living room'], dtype=object)}",aeroport,church,furniture store,university
497,D,"Bill wanted to pick up a stranger, preferably a responsible one with kids.  Where might he look for one?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bus station', 'paradise', 'train station', 'park', 'sea'],
      dtype=object)}",bus station,paradise,train station,park
499,A,What might I place under the furniture?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['rug', 'room', 'toy', ""friend's house"", 'building'], dtype=object)}",rug,room,toy,friend's house
44,D,James knew that he shouldn't have been buying beer for minors.  He didn't even get paid for it.  Why was this bad?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lose money', 'fun', 'have no money', 'broken law', 'relaxation'],
      dtype=object)}",lose money,fun,have no money,broken law
641,A,Where is a well used toy car likely to be found?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""child's room"", ""boy's bedroom"", 'own home', 'toy store', 'house'],
      dtype=object)}",child's room,boy's bedroom,own home,toy store
272,B,Printing on a printer can get expensive because it does what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['explode', 'use paper', 'store information', 'queue', 'noise'],
      dtype=object)}",explode,use paper,store information,queue
107,A,James's nice asked him about her grandfather. She was interested in learning about what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['family tree', 'family reunion', 'babysitting', ""brother's house"",
       'heirlooms'], dtype=object)}",family tree,family reunion,babysitting,brother's house
295,B,What is a person trying to accomplish when taking analgesics?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['acceptance', 'avoid pain', 'acknowledgment', 'passing grade',
       'intellectual challenge'], dtype=object)}",acceptance,avoid pain,acknowledgment,passing grade
516,A,Where are the most famous BBQ steakhouses in america?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['texas', 'building', 'kansas city', 'maine', 'falling down'],
      dtype=object)}",texas,building,kansas city,maine
825,B,"Although the sun did rise, what did the pessimist warn everyone it would do?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['lay', 'go down', 'fall', 'below', 'sundown'], dtype=object)}",lay,go down,fall,below
958,D,What is a possible outcome for committing murder?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['problems', 'incarceration', 'trial', 'imprisonment',
       'prosecution'], dtype=object)}",problems,incarceration,trial,imprisonment
1013,D,What could you use to fill a cup and then drink from it?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sand box', 'kitchen cabinet', 'waterfall', 'water fountain',
       'table'], dtype=object)}",sand box,kitchen cabinet,waterfall,water fountain
680,A,Where is one likely to find a fan for their stove?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['appliance store', 'sports stadium', 'dress emporium', 'hot room',
       'football stadium'], dtype=object)}",appliance store,sports stadium,dress emporium,hot room
1106,D,Where is a lake likely to be glacial?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['michigan', 'new york', 'new york', 'mountains', 'countryside'],
      dtype=object)}",michigan,new york,new york,mountains
73,A,"Despite the name a pawn can be quite versatile, all the parts are important in a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['chess game', 'scheme', 'chess set', 'checkers', 'north carolina'],
      dtype=object)}",chess game,scheme,chess set,checkers
489,D,Where would you keep a rug near your front door?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['persia', 'desk', 'table', 'living room', 'hall'], dtype=object)}",persia,desk,table,living room
466,B,What do humans do to other humans after death?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['celebrate', 'burial', 'life', 'rebirth', 'decomposition'],
      dtype=object)}",celebrate,burial,life,rebirth
1127,B,"If a car-less person want to listen to talk radio in private, where might they listen to it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['trunk', 'bedroom', 'diner', 'space shuttle', 'shop'], dtype=object)}",trunk,bedroom,diner,space shuttle
892,A,The ball was hit over a boundary and struck an audience member.  What kind of game were they playing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sporting event', 'sporting', 'basketball', 'society',
       'ranch country'], dtype=object)}",sporting event,sporting,basketball,society
36,C,Who is a police officer likely to work for?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['beat', 'direct traffic', 'city', 'street', 'president'],
      dtype=object)}",beat,direct traffic,city,street
251,D,People do many things to alleviate boredom.  If you can't get out of the house you might decide to do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['play cards', 'skateboard', 'meet interesting people',
       'listen to music', 'go to a concert'], dtype=object)}",play cards,skateboard,meet interesting people,listen to music
123,D,Colorful anemone look somewhat like what object you find on window sills?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['intertidal zone', 'coral sea', 'under water', 'flower bed',
       'florida keys'], dtype=object)}",intertidal zone,coral sea,under water,flower bed
